Tabela 21,,,,,,,,,,,,,,,
  130 ,  3.457 ,  -   ,  572 ,  -   ,  -   ,  3.552 ,  254 ,  -   ,  45 ,  229 ,  -   ,  71 ,  1.482 ,  -   ,  9.662 
  131 ,  9.296 ,  607 ,  7.847 ,  -   ,  15 ,  4.781 ,  1.447 ,  458 ,  301 ,  725 ,  -   ,  1.016 ,  5.566 ,  -   ,  32.060 
  132 ,  3.298 ,  641 ,  2.390 ,  7 ,  689 ,  5.793 ,  1.132 ,  7 ,  -   ,  314 ,  -   ,  92 ,  511 ,  -   ,  14.874 
  133 ,  13.837 ,  -   ,  19.216 ,  -   ,  2.615 ,  21.318 ,  11.070 ,  2.500 ,  38 ,  2.219 ,  74 ,  94 ,  19.137 ,  -   ,  92.117 
  134 ,  5.000 ,  -   ,  15.518 ,  -   ,  2.953 ,  20.851 ,  12.199 ,  -   ,  2.331 ,  1.297 ,  -   ,  -   ,  12.176 ,  367 ,  72.693 
  135 ,  8.146 ,  -   ,  17.182 ,  -   ,  4.990 ,  18.876 ,  7.234 ,  192 ,  1.997 ,  1.981 ,  -   ,  1.271 ,  21.796 ,  -   ,  83.665 
  136 ,  5.398 ,  2.501 ,  15.104 ,  659 ,  4.638 ,  20.397 ,  8.653 ,  168 ,  1.394 ,  2.422 ,  -   ,  423 ,  28.515 ,  -   ,  90.271 
  137 ,  7.432 ,  -   ,  25.178 ,  -   ,  5.380 ,  22.880 ,  11.281 ,  265 ,  752 ,  4.389 ,  392 ,  301 ,  28.630 ,  -   ,  106.878 
  138 ,  1.408 ,  1.121 ,  4.484 ,  -   ,  1.696 ,  8.721 ,  4.379 ,  44 ,  454 ,  528 ,  -   ,  35 ,  11.686 ,  -   ,  34.557 
  139 ,  3.621 ,  908 ,  16.919 ,  -   ,  3.462 ,  12.801 ,  4.875 ,  -   ,  607 ,  -   ,  -   ,  531 ,  19.301 ,  -   ,  63.023 
  140 ,  5.917 ,  670 ,  15.212 ,  647 ,  1.310 ,  10.650 ,  3.023 ,  -   ,  554 ,  3.620 ,  -   ,  1.500 ,  46.593 ,  130 ,  89.826 
  141 ,  11.678 ,  -   ,  38.030 ,  -   ,  8.660 ,  31.303 ,  6.630 ,  300 ,  352 ,  982 ,  -   ,  1.785 ,  58.635 ,  2.350 ,  160.705 
  142 ,  2.836 ,  -   ,  22.772 ,  -   ,  7.381 ,  13.003 ,  8.148 ,  -   ,  -   ,  1.281 ,  -   ,  -   ,  40.429 ,  2.350 ,  98.199 
  143 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
  144 ,  14.761 ,  -   ,  42.369 ,  190 ,  10.291 ,  43.005 ,  17.095 ,  -   ,  830 ,  1.498 ,  -   ,  -   ,  33.647 ,  -   ,  163.687 
  145 ,  746 ,  -   ,  2.091 ,  -   ,  1.973 ,  4.358 ,  4.457 ,  -   ,  1.055 ,  1.093 ,  333 ,  1.513 ,  2.653 ,  -   ,  20.272 
  146 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
  147 ,  5.402 ,  -   ,  16.488 ,  -   ,  3.217 ,  13.939 ,  3.919 ,  140 ,  63 ,  304 ,  129 ,  1.513 ,  27.261 ,  -   ,  72.374 
  148 ,  1.697 ,  -   ,  9.538 ,  -   ,  1.295 ,  7.296 ,  7.693 ,  30 ,  -   ,  520 ,  -   ,  350 ,  20.445 ,  -   ,  48.864 
  149 ,  -   ,  -   ,  -   ,  -   ,  -   ,  78 ,  -   ,  -   ,  -   ,  -   ,  -   ,  350 ,  -   ,  -   ,  428 
  150 ,  4.330 ,  90 ,  20.223 ,  -   ,  2.496 ,  4.571 ,  4.793 ,  -   ,  502 ,  2.413 ,  -   ,  -   ,  23.667 ,  460 ,  63.545 
  151 ,  13.105 ,  -   ,  33.514 ,  -   ,  4.432 ,  30.132 ,  14.270 ,  170 ,  3.017 ,  3.683 ,  874 ,  1.556 ,  74.425 ,  -   ,  179.178 
  152 ,  10.769 ,  -   ,  8.908 ,  -   ,  2.153 ,  15.141 ,  14.448 ,  -   ,  380 ,  498 ,  -   ,  272 ,  26.886 ,  -   ,  79.456 
  153 ,  5.315 ,  -   ,  11.923 ,  -   ,  1.622 ,  12.277 ,  4.188 ,  170 ,  35 ,  303 ,  -   ,  -   ,  5.323 ,  270 ,  41.426 
  154 ,  13.868 ,  -   ,  19.747 ,  -   ,  1.721 ,  27.707 ,  13.183 ,  143 ,  -   ,  3.152 ,  270 ,  -   ,  20.508 ,  -   ,  100.300 
  155 ,  1.796 ,  -   ,  8.447 ,  -   ,  4.355 ,  5.554 ,  1.836 ,  -   ,  290 ,  1.360 ,  254 ,  423 ,  18.183 ,  105 ,  42.604 
  156 ,  4.967 ,  -   ,  25.029 ,  -   ,  3.257 ,  16.454 ,  11.566 ,  -   ,  -   ,  1.810 ,  338 ,  1.293 ,  23.559 ,  -   ,  88.273 
  157 ,  3.949 ,  -   ,  4.929 ,  -   ,  2.121 ,  9.745 ,  2.305 ,  -   ,  196 ,  768 ,  214 ,  356 ,  9.189 ,  821 ,  34.594 
  158 ,  11.426 ,  -   ,  16.484 ,  -   ,  3.894 ,  13.827 ,  3.418 ,  -   ,  744 ,  1.058 ,  -   ,  356 ,  24.662 ,  -   ,  75.869 
  159 ,  2.566 ,  677 ,  18.182 ,  41 ,  7.265 ,  21.467 ,  9.452 ,  -   ,  -   ,  1.266 ,  -   ,  -   ,  39.478 ,  -   ,  100.394 
  160 ,  2.403 ,  -   ,  14.448 ,  -   ,  5.572 ,  10.200 ,  4.247 ,  -   ,  71 ,  579 ,  -   ,  -   ,  15.674 ,  304 ,  53.498 
  161 ,  6.035 ,  895 ,  18.754 ,  -   ,  2.114 ,  24.782 ,  15.256 ,  46 ,  605 ,  2.305 ,  338 ,  6.112 ,  44.721 ,  -   ,  121.963 
  162 ,  2.421 ,  896 ,  20.108 ,  444 ,  3.139 ,  12.389 ,  6.646 ,  -   ,  634 ,  1.569 ,  -   ,  1.192 ,  18.660 ,  670 ,  68.767 
  163 ,  9.304 ,  -   ,  14.116 ,  -   ,  2.739 ,  22.127 ,  23.827 ,  -   ,  326 ,  407 ,  -   ,  5.606 ,  17.547 ,  1.522 ,  97.522 
  164 ,  923 ,  2.049 ,  5.652 ,  -   ,  502 ,  6.939 ,  2.131 ,  -   ,  -   ,  141 ,  -   ,  1.520 ,  5.878 ,  -   ,  25.735 
  165 ,  5.840 ,  18 ,  12.057 ,  -   ,  178 ,  10.923 ,  942 ,  329 ,  410 ,  2.115 ,  -   ,  104 ,  4.645 ,  -   ,  37.562 
  166 ,  21.006 ,  6.389 ,  17.849 ,  -   ,  5.959 ,  24.933 ,  14.767 ,  51 ,  520 ,  4.497 ,  961 ,  -   ,  22.396 ,  -   ,  119.328 
  167 ,  22.693 ,  10.174 ,  22.115 ,  -   ,  1.569 ,  28.147 ,  8.118 ,  52 ,  968 ,  1.262 ,  290 ,  660 ,  22.087 ,  -   ,  118.134 
  168 ,  13.193 ,  7.765 ,  10.403 ,  338 ,  1.226 ,  14.432 ,  7.048 ,  -   ,  -   ,  1.214 ,  166 ,  -   ,  18.037 ,  257 ,  74.079 
  169 ,  26.454 ,  2.323 ,  20.479 ,  -   ,  1.484 ,  16.201 ,  5.482 ,  -   ,  50 ,  974 ,  437 ,  653 ,  12.360 ,  379 ,  87.276 
  170 ,  14.641 ,  945 ,  27.570 ,  353 ,  4.518 ,  16.719 ,  6.423 ,  172 ,  619 ,  1.212 ,  -   ,  838 ,  23.292 ,  -   ,  97.305 
  171 ,  12.478 ,  -   ,  23.540 ,  247 ,  1.977 ,  15.076 ,  4.993 ,  441 ,  193 ,  1.073 ,  -   ,  -   ,  21.018 ,  126 ,  81.162 
  172 ,  6.326 ,  -   ,  10.514 ,  -   ,  2.093 ,  13.093 ,  5.786 ,  111 ,  1.458 ,  149 ,  -   ,  902 ,  11.545 ,  -   ,  51.976 
  173 ,  10.117 ,  47 ,  4.527 ,  -   ,  769 ,  6.039 ,  3.713 ,  -   ,  -   ,  1.070 ,  -   ,  902 ,  17.932 ,  -   ,  45.117 
  174 ,  6.784 ,  697 ,  17.569 ,  -   ,  6.863 ,  8.385 ,  3.728 ,  315 ,  315 ,  992 ,  -   ,  1.014 ,  39.102 ,  276 ,  86.039 
  175 ,  3.467 ,  663 ,  10.258 ,  -   ,  4.174 ,  8.546 ,  6.234 ,  -   ,  297 ,  495 ,  247 ,  -   ,  24.742 ,  1.028 ,  60.150 
  176 ,  6.459 ,  249 ,  6.599 ,  -   ,  5.395 ,  11.878 ,  7.348 ,  -   ,  62 ,  775 ,  186 ,  -   ,  19.552 ,  -   ,  58.503 
  177 ,  864 ,  -   ,  2.790 ,  95 ,  498 ,  2.700 ,  1.043 ,  91 ,  30 ,  408 ,  -   ,  251 ,  5.117 ,  46 ,  13.932 
  178 ,  572 ,  274 ,  1.220 ,  -   ,  -   ,  616 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.266 ,  -   ,  3.949 
  179 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
  180 ,  10.038 ,  1.404 ,  20.161 ,  630 ,  5.553 ,  19.616 ,  4.220 ,  -   ,  -   ,  1.000 ,  -   ,  1.510 ,  55.631 ,  -   ,  119.763 
  181 ,  6.868 ,  711 ,  15.326 ,  247 ,  4.939 ,  15.286 ,  10.918 ,  -   ,  -   ,  23 ,  -   ,  188 ,  26.417 ,  1.618 ,  82.542 
  182 ,  6.852 ,  -   ,  14.901 ,  -   ,  3.255 ,  11.129 ,  3.048 ,  -   ,  977 ,  222 ,  -   ,  1.057 ,  24.014 ,  -   ,  65.454 
  183 ,  10.346 ,  1.622 ,  11.747 ,  303 ,  3.731 ,  11.868 ,  7.644 ,  -   ,  1.347 ,  -   ,  -   ,  1.948 ,  17.152 ,  -   ,  67.707 
  184 ,  4.211 ,  -   ,  4.540 ,  -   ,  2.030 ,  7.655 ,  2.544 ,  -   ,  551 ,  185 ,  -   ,  133 ,  21.061 ,  -   ,  42.912 
  185 ,  2.806 ,  193 ,  7.345 ,  -   ,  2.068 ,  4.264 ,  1.295 ,  234 ,  -   ,  -   ,  -   ,  -   ,  11.688 ,  -   ,  29.892 
  186 ,  1.417 ,  -   ,  4.668 ,  97 ,  2.743 ,  1.421 ,  1.131 ,  -   ,  171 ,  107 ,  -   ,  -   ,  5.532 ,  97 ,  17.385 
  187 ,  5.236 ,  3.432 ,  10.886 ,  342 ,  2.748 ,  7.930 ,  2.017 ,  -   ,  -   ,  1.894 ,  -   ,  1.329 ,  26.996 ,  342 ,  63.153 
  188 ,  6.054 ,  2.217 ,  20.435 ,  -   ,  3.953 ,  14.395 ,  6.110 ,  -   ,  810 ,  -   ,  -   ,  158 ,  23.028 ,  -   ,  77.160 
  189 ,  9.720 ,  4.374 ,  16.719 ,  -   ,  1.001 ,  14.313 ,  14.312 ,  -   ,  -   ,  -   ,  -   ,  -   ,  31.511 ,  -   ,  91.951 
  190 ,  7.403 ,  2.730 ,  21.845 ,  -   ,  6.237 ,  12.425 ,  9.597 ,  -   ,  102 ,  1.502 ,  -   ,  -   ,  20.954 ,  872 ,  83.667 
  191 ,  9.089 ,  2.318 ,  8.898 ,  -   ,  -   ,  6.065 ,  246 ,  -   ,  -   ,  184 ,  -   ,  -   ,  1.575 ,  -   ,  28.375 
  192 ,  7.832 ,  1.043 ,  5.479 ,  -   ,  4.802 ,  6.063 ,  2.112 ,  73 ,  318 ,  757 ,  -   ,  -   ,  22.754 ,  324 ,  51.557 
  193 ,  4.267 ,  -   ,  6.959 ,  -   ,  1.752 ,  6.238 ,  3.059 ,  -   ,  -   ,  -   ,  -   ,  691 ,  14.290 ,  -   ,  37.255 
  194 ,  3.248 ,  148 ,  8.069 ,  -   ,  3.038 ,  1.648 ,  454 ,  -   ,  -   ,  705 ,  -   ,  -   ,  16.253 ,  754 ,  34.318 
  195 ,  8.002 ,  1.032 ,  8.002 ,  580 ,  2.520 ,  6.090 ,  1.164 ,  -   ,  -   ,  1.280 ,  -   ,  -   ,  19.545 ,  60 ,  48.275 
  196 ,  5.113 ,  2.312 ,  10.466 ,  -   ,  3.638 ,  4.259 ,  3.434 ,  -   ,  -   ,  777 ,  -   ,  980 ,  19.672 ,  -   ,  50.650 
  197 ,  4.342 ,  2.799 ,  11.074 ,  -   ,  2.757 ,  9.668 ,  2.659 ,  -   ,  -   ,  558 ,  -   ,  137 ,  15.086 ,  729 ,  49.810 
  198 ,  6.201 ,  5.419 ,  32.129 ,  246 ,  2.709 ,  17.714 ,  7.899 ,  -   ,  129 ,  1.213 ,  -   ,  137 ,  26.943 ,  1.060 ,  101.799 
  199 ,  8.323 ,  5.642 ,  16.485 ,  -   ,  7.974 ,  16.791 ,  17.569 ,  -   ,  998 ,  1.441 ,  -   ,  6.041 ,  82.307 ,  -   ,  163.571 
  200 ,  4.708 ,  3.341 ,  5.738 ,  -   ,  565 ,  5.632 ,  3.788 ,  -   ,  -   ,  1.051 ,  109 ,  1.270 ,  26.480 ,  -   ,  52.682 
  201 ,  6.591 ,  7.998 ,  18.480 ,  603 ,  5.708 ,  19.992 ,  9.216 ,  -   ,  -   ,  1.541 ,  -   ,  3.008 ,  67.033 ,  705 ,  140.876 
  202 ,  11.671 ,  10.088 ,  14.353 ,  451 ,  13.206 ,  12.784 ,  4.522 ,  -   ,  -   ,  1.210 ,  -   ,  490 ,  24.902 ,  589 ,  94.266 
  203 ,  9.231 ,  2.776 ,  14.495 ,  -   ,  3.102 ,  4.941 ,  3.306 ,  -   ,  -   ,  678 ,  -   ,  -   ,  31.451 ,  -   ,  69.979 
  204 ,  13.395 ,  9.312 ,  24.946 ,  -   ,  2.382 ,  12.112 ,  11.467 ,  -   ,  5.770 ,  2.872 ,  -   ,  3.562 ,  81.302 ,  -   ,  167.122 
  205 ,  16.757 ,  6.758 ,  18.462 ,  384 ,  3.262 ,  17.980 ,  8.786 ,  -   ,  -   ,  1.153 ,  976 ,  907 ,  70.708 ,  -   ,  146.132 
  206 ,  6.100 ,  4.382 ,  18.841 ,  -   ,  9.585 ,  17.314 ,  12.500 ,  -   ,  -   ,  1.152 ,  592 ,  479 ,  30.109 ,  -   ,  101.054 
  207 ,  5.036 ,  9.926 ,  15.248 ,  924 ,  6.161 ,  12.814 ,  6.531 ,  -   ,  843 ,  1.121 ,  -   ,  158 ,  71.461 ,  -   ,  130.223 
  208 ,  7.613 ,  3.189 ,  21.542 ,  268 ,  4.886 ,  25.808 ,  9.629 ,  -   ,  349 ,  809 ,  -   ,  752 ,  25.646 ,  -   ,  100.492 
  209 ,  7.283 ,  -   ,  14.499 ,  -   ,  5.108 ,  18.172 ,  10.406 ,  164 ,  1.254 ,  998 ,  602 ,  -   ,  21.369 ,  888 ,  80.743 
  210 ,  8.066 ,  3.152 ,  20.047 ,  -   ,  1.114 ,  24.026 ,  12.572 ,  482 ,  3.313 ,  1.555 ,  -   ,  1.505 ,  18.801 ,  -   ,  94.631 
  211 ,  4.101 ,  -   ,  36.875 ,  -   ,  3.445 ,  28.454 ,  11.666 ,  371 ,  396 ,  2.150 ,  622 ,  1.574 ,  21.712 ,  -   ,  111.367 
  212 ,  2.975 ,  -   ,  11.220 ,  -   ,  135 ,  8.574 ,  4.640 ,  -   ,  246 ,  1.609 ,  -   ,  -   ,  24.373 ,  661 ,  54.433 
  213 ,  5.680 ,  320 ,  23.829 ,  -   ,  6.872 ,  14.146 ,  8.333 ,  -   ,  246 ,  1.705 ,  602 ,  -   ,  24.270 ,  -   ,  86.003 
  214 ,  9.575 ,  -   ,  11.285 ,  -   ,  3.855 ,  7.618 ,  2.031 ,  -   ,  -   ,  1.557 ,  -   ,  434 ,  16.092 ,  -   ,  52.448 
  215 ,  8.132 ,  -   ,  9.705 ,  456 ,  3.196 ,  21.063 ,  9.363 ,  6 ,  193 ,  1.803 ,  -   ,  -   ,  20.468 ,  -   ,  74.385 
  216 ,  12.410 ,  -   ,  7.567 ,  -   ,  4.275 ,  15.413 ,  8.080 ,  -   ,  438 ,  27 ,  -   ,  -   ,  21.932 ,  -   ,  70.143 
  217 ,  8.119 ,  447 ,  7.001 ,  364 ,  3.988 ,  11.908 ,  4.679 ,  -   ,  -   ,  1.046 ,  -   ,  -   ,  26.898 ,  -   ,  64.451 
  218 ,  23.015 ,  -   ,  21.410 ,  -   ,  6.842 ,  19.167 ,  12.468 ,  -   ,  -   ,  350 ,  -   ,  -   ,  51.499 ,  639 ,  135.389 
  219 ,  8.364 ,  154 ,  15.561 ,  -   ,  5.078 ,  19.427 ,  10.077 ,  168 ,  -   ,  687 ,  -   ,  3.448 ,  27.993 ,  1.721 ,  92.677 
  220 ,  4.834 ,  945 ,  13.688 ,  358 ,  1.279 ,  8.989 ,  7.137 ,  -   ,  300 ,  905 ,  296 ,  267 ,  24.094 ,  62 ,  63.154 
  221 ,  7.573 ,  -   ,  17.880 ,  364 ,  7.300 ,  19.263 ,  14.410 ,  -   ,  -   ,  1.291 ,  -   ,  527 ,  21.514 ,  62 ,  90.184 
  222 ,  6.847 ,  1.467 ,  14.164 ,  -   ,  2.705 ,  21.113 ,  9.878 ,  -   ,  707 ,  1.886 ,  -   ,  -   ,  20.037 ,  -   ,  78.807 
  223 ,  4.347 ,  210 ,  7.968 ,  274 ,  3.742 ,  9.633 ,  3.289 ,  -   ,  -   ,  1.954 ,  -   ,  -   ,  9.097 ,  548 ,  41.062 
  224 ,  448 ,  -   ,  3.847 ,  1.535 ,  -   ,  1.706 ,  1.743 ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.404 ,  -   ,  12.683 
  225 ,  4.629 ,  986 ,  12.491 ,  -   ,  2.759 ,  7.060 ,  3.212 ,  -   ,  -   ,  708 ,  -   ,  -   ,  20.370 ,  -   ,  52.215 
  226 ,  23.057 ,  7.248 ,  19.162 ,  -   ,  8.007 ,  27.102 ,  18.124 ,  -   ,  -   ,  2.052 ,  521 ,  -   ,  70.125 ,  -   ,  175.398 
  227 ,  10.782 ,  7.359 ,  18.369 ,  897 ,  9.409 ,  16.051 ,  8.339 ,  -   ,  1.348 ,  240 ,  -   ,  -   ,  18.353 ,  -   ,  91.148 
  228 ,  4.554 ,  5.604 ,  10.763 ,  -   ,  2.306 ,  8.354 ,  5.027 ,  -   ,  -   ,  910 ,  -   ,  660 ,  22.341 ,  -   ,  60.518 
  229 ,  20.745 ,  7.369 ,  64.257 ,  603 ,  16.861 ,  23.670 ,  14.279 ,  -   ,  2.010 ,  563 ,  365 ,  660 ,  94.887 ,  -   ,  246.269 
  230 ,  10.088 ,  5.630 ,  24.758 ,  -   ,  11.967 ,  13.174 ,  4.871 ,  -   ,  -   ,  918 ,  272 ,  -   ,  47.472 ,  -   ,  119.151 
  231 ,  3.687 ,  363 ,  17.325 ,  1.118 ,  3.774 ,  3.952 ,  1.153 ,  -   ,  -   ,  692 ,  -   ,  -   ,  16.500 ,  910 ,  49.474 
  232 ,  3.963 ,  612 ,  22.166 ,  -   ,  5.685 ,  7.607 ,  3.923 ,  -   ,  -   ,  1.534 ,  -   ,  282 ,  29.230 ,  -   ,  75.002 
  233 ,  5.953 ,  1.027 ,  23.655 ,  959 ,  4.483 ,  9.111 ,  2.545 ,  -   ,  -   ,  1.583 ,  -   ,  6.284 ,  38.944 ,  -   ,  94.544 
  234 ,  5.000 ,  649 ,  22.442 ,  684 ,  2.891 ,  12.397 ,  6.511 ,  -   ,  -   ,  992 ,  -   ,  382 ,  53.415 ,  -   ,  105.363 
  235 ,  4.239 ,  -   ,  26.075 ,  -   ,  9.191 ,  15.649 ,  3.873 ,  -   ,  -   ,  3.607 ,  -   ,  1.405 ,  36.652 ,  409 ,  101.100 
  236 ,  3.432 ,  332 ,  11.054 ,  88 ,  1.064 ,  8.407 ,  3.407 ,  -   ,  1.209 ,  58 ,  -   ,  59 ,  13.358 ,  -   ,  42.469 
  237 ,  3.354 ,  418 ,  11.653 ,  192 ,  183 ,  13.159 ,  4.564 ,  288 ,  194 ,  1.248 ,  -   ,  77 ,  11.974 ,  -   ,  47.304 
  238 ,  9.977 ,  -   ,  8.139 ,  135 ,  1.032 ,  8.372 ,  5.561 ,  700 ,  755 ,  1.336 ,  -   ,  72 ,  7.672 ,  -   ,  43.749 
  239 ,  12.205 ,  1.127 ,  16.769 ,  -   ,  3.707 ,  20.931 ,  8.500 ,  15 ,  1.155 ,  2.686 ,  -   ,  1.016 ,  13.097 ,  -   ,  81.207 
  240 ,  4.933 ,  408 ,  14.423 ,  -   ,  58 ,  11.981 ,  4.528 ,  623 ,  641 ,  1.454 ,  817 ,  2.024 ,  13.738 ,  564 ,  56.191 
  241 ,  3.267 ,  1.276 ,  6.775 ,  -   ,  1.165 ,  6.396 ,  1.983 ,  -   ,  -   ,  926 ,  -   ,  1.291 ,  6.329 ,  159 ,  29.568 
  242 ,  10.487 ,  1.849 ,  8.503 ,  -   ,  2.411 ,  4.908 ,  3.071 ,  -   ,  -   ,  1.497 ,  97 ,  5.847 ,  13.392 ,  -   ,  52.063 
  243 ,  5.268 ,  344 ,  14.637 ,  -   ,  4.355 ,  17.067 ,  6.461 ,  -   ,  61 ,  2.174 ,  -   ,  491 ,  42.790 ,  -   ,  93.649 
  244 ,  6.970 ,  -   ,  20.623 ,  -   ,  7.235 ,  14.489 ,  6.302 ,  -   ,  2.147 ,  2.975 ,  -   ,  1.383 ,  48.191 ,  -   ,  110.313 
  245 ,  4.307 ,  -   ,  6.153 ,  -   ,  1.291 ,  5.512 ,  1.671 ,  -   ,  -   ,  484 ,  -   ,  -   ,  13.710 ,  -   ,  33.128 
  246 ,  6.007 ,  -   ,  15.338 ,  310 ,  1.783 ,  8.264 ,  1.929 ,  -   ,  168 ,  2.913 ,  -   ,  -   ,  9.759 ,  455 ,  46.925 
  247 ,  14.166 ,  -   ,  46.141 ,  894 ,  8.281 ,  34.202 ,  13.417 ,  725 ,  1.461 ,  2.740 ,  -   ,  -   ,  78.276 ,  -   ,  200.304 
  248 ,  245 ,  -   ,  1.196 ,  -   ,  -   ,  993 ,  1.609 ,  -   ,  173 ,  704 ,  704 ,  251 ,  108 ,  -   ,  5.983 
  249 ,  4.352 ,  -   ,  13.830 ,  147 ,  1.104 ,  14.145 ,  9.820 ,  238 ,  -   ,  337 ,  -   ,  880 ,  19.913 ,  -   ,  64.766 
  250 ,  6.068 ,  -   ,  9.544 ,  -   ,  1.262 ,  11.286 ,  4.188 ,  -   ,  1.694 ,  950 ,  -   ,  145 ,  11.244 ,  -   ,  46.381 
  251 ,  5.683 ,  -   ,  7.256 ,  -   ,  2.477 ,  11.355 ,  3.208 ,  -   ,  1.472 ,  1.017 ,  219 ,  -   ,  6.745 ,  -   ,  39.433 
  252 ,  6.576 ,  -   ,  6.706 ,  -   ,  2.259 ,  9.804 ,  1.057 ,  -   ,  106 ,  339 ,  -   ,  -   ,  17.744 ,  -   ,  44.591 
  253 ,  1.252 ,  2.654 ,  2.734 ,  -   ,  260 ,  2.176 ,  63 ,  22 ,  146 ,  755 ,  -   ,  169 ,  2.908 ,  -   ,  13.139 
  254 ,  22.239 ,  880 ,  22.860 ,  -   ,  2.684 ,  22.036 ,  10.287 ,  -   ,  724 ,  3.912 ,  843 ,  34 ,  18.888 ,  355 ,  105.744 
  255 ,  4.120 ,  3.553 ,  14.874 ,  814 ,  2.484 ,  36.243 ,  25.542 ,  -   ,  -   ,  103 ,  -   ,  3.508 ,  37.967 ,  -   ,  129.208 
  256 ,  4.686 ,  169 ,  11.945 ,  261 ,  2.134 ,  9.170 ,  4.126 ,  -   ,  522 ,  1.047 ,  556 ,  -   ,  7.916 ,  -   ,  42.531 
  257 ,  5.783 ,  -   ,  12.226 ,  -   ,  1.370 ,  14.185 ,  8.163 ,  -   ,  -   ,  319 ,  -   ,  -   ,  18.050 ,  -   ,  60.096 
  258 ,  8.148 ,  369 ,  27.779 ,  -   ,  6.559 ,  17.161 ,  8.150 ,  -   ,  -   ,  1.385 ,  -   ,  1.009 ,  23.443 ,  -   ,  94.003 
  259 ,  1.856 ,  -   ,  10.957 ,  208 ,  3.419 ,  7.031 ,  4.065 ,  -   ,  -   ,  942 ,  -   ,  314 ,  19.648 ,  139 ,  48.580 
  260 ,  9.159 ,  -   ,  9.681 ,  -   ,  2.547 ,  6.860 ,  1.908 ,  -   ,  -   ,  779 ,  -   ,  1.077 ,  24.636 ,  -   ,  56.645 
  261 ,  2.651 ,  204 ,  28.003 ,  -   ,  4.176 ,  17.129 ,  7.485 ,  -   ,  253 ,  1.909 ,  -   ,  778 ,  21.861 ,  -   ,  84.449 
