Tabela 21,,,,,,,,,,,,,,,
  395 ,  4.742 ,  13.502 ,  19.920 ,  -   ,  8.926 ,  20.678 ,  10.208 ,  -   ,  258 ,  2.254 ,  -   ,  5.967 ,  60.590 ,  643 ,  147.690 
  396 ,  7.899 ,  15.528 ,  18.737 ,  301 ,  2.816 ,  32.846 ,  20.886 ,  -   ,  1.148 ,  3.576 ,  304 ,  1.901 ,  85.243 ,  -   ,  191.185 
  397 ,  2.500 ,  5.328 ,  24.421 ,  -   ,  10.341 ,  14.915 ,  6.710 ,  1.536 ,  -   ,  706 ,  304 ,  2.820 ,  48.796 ,  -   ,  118.377 
  398 ,  2.979 ,  1.490 ,  17.014 ,  2.271 ,  5.667 ,  24.371 ,  12.663 ,  -   ,  442 ,  6.851 ,  2.360 ,  1.464 ,  72.552 ,  1.468 ,  151.592 
  399 ,  5.118 ,  5.234 ,  8.688 ,  993 ,  9.672 ,  7.137 ,  3.270 ,  -   ,  -   ,  1.193 ,  -   ,  756 ,  35.730 ,  87 ,  77.878 
  400 ,  5.552 ,  11.479 ,  18.552 ,  5.069 ,  9.676 ,  19.762 ,  7.739 ,  -   ,  1.039 ,  2.955 ,  -   ,  3.772 ,  78.175 ,  1.663 ,  165.432 
  401 ,  4.277 ,  11.760 ,  42.221 ,  5.113 ,  19.276 ,  48.735 ,  26.540 ,  -   ,  1.438 ,  1.352 ,  308 ,  11.295 ,  129.961 ,  1.072 ,  303.347 
  402 ,  264 ,  1.401 ,  5.251 ,  315 ,  2.579 ,  4.165 ,  2.250 ,  -   ,  54 ,  -   ,  -   ,  2.132 ,  11.086 ,  -   ,  29.496 
  403 ,  223 ,  990 ,  3.003 ,  1.723 ,  2.524 ,  2.183 ,  1.631 ,  -   ,  -   ,  -   ,  -   ,  2.116 ,  8.763 ,  -   ,  23.156 
  404 ,  4.423 ,  6.068 ,  30.186 ,  2.260 ,  1.236 ,  66.121 ,  38.714 ,  2.085 ,  487 ,  4.369 ,  -   ,  3.898 ,  85.746 ,  149 ,  245.742 
  405 ,  2.015 ,  5.685 ,  18.581 ,  2.164 ,  1.840 ,  16.997 ,  7.089 ,  -   ,  1.071 ,  3.253 ,  106 ,  2.149 ,  17.557 ,  -   ,  78.506 
  406 ,  1.094 ,  6.873 ,  24.647 ,  3.499 ,  398 ,  22.935 ,  10.230 ,  -   ,  487 ,  1.639 ,  -   ,  1.337 ,  18.637 ,  487 ,  92.262 
  407 ,  1.928 ,  5.230 ,  38.026 ,  2.413 ,  2.877 ,  36.435 ,  20.911 ,  -   ,  -   ,  5.816 ,  487 ,  3.031 ,  76.949 ,  -   ,  194.103 
  408 ,  2.578 ,  5.779 ,  10.661 ,  279 ,  3.262 ,  7.317 ,  4.137 ,  -   ,  -   ,  1.035 ,  243 ,  1.056 ,  29.860 ,  -   ,  66.207 
  409 ,  951 ,  566 ,  3.854 ,  155 ,  1.775 ,  3.820 ,  2.692 ,  -   ,  -   ,  548 ,  69 ,  -   ,  10.320 ,  -   ,  24.751 
  410 ,  84 ,  84 ,  3.506 ,  -   ,  1.652 ,  4.203 ,  1.317 ,  -   ,  -   ,  1.416 ,  454 ,  363 ,  3.442 ,  -   ,  16.522 
  411 ,  104 ,  344 ,  4.829 ,  481 ,  1.219 ,  4.802 ,  4.027 ,  -   ,  1.071 ,  930 ,  -   ,  235 ,  6.565 ,  -   ,  24.606 
  412 ,  407 ,  733 ,  13.136 ,  577 ,  694 ,  12.024 ,  5.827 ,  -   ,  -   ,  2.320 ,  273 ,  104 ,  19.196 ,  -   ,  55.292 
  413 ,  -   ,  1.653 ,  6.030 ,  -   ,  5.298 ,  4.029 ,  3.421 ,  -   ,  -   ,  542 ,  472 ,  577 ,  14.448 ,  -   ,  36.469 
  414 ,  -   ,  320 ,  3.455 ,  408 ,  4.513 ,  10.624 ,  3.171 ,  1.557 ,  -   ,  803 ,  -   ,  2.658 ,  27.476 ,  149 ,  55.134 
  415 ,  -   ,  -   ,  1.996 ,  2.031 ,  1.771 ,  4.146 ,  2.340 ,  -   ,  239 ,  32 ,  -   ,  903 ,  18.474 ,  246 ,  32.178 
  416 ,  210 ,  -   ,  1.305 ,  420 ,  4.267 ,  8.749 ,  4.363 ,  -   ,  -   ,  1.287 ,  233 ,  5.694 ,  19.999 ,  246 ,  46.774 
  417 ,  2.291 ,  2.959 ,  7.383 ,  -   ,  5.259 ,  26.726 ,  13.402 ,  -   ,  964 ,  5.405 ,  1.020 ,  1.047 ,  43.823 ,  488 ,  110.766 
  418 ,  4.387 ,  1.090 ,  8.584 ,  392 ,  2.773 ,  27.722 ,  8.088 ,  -   ,  2.484 ,  4.626 ,  1.308 ,  -   ,  30.030 ,  488 ,  91.972 
  419 ,  3.198 ,  1.770 ,  8.670 ,  -   ,  7.030 ,  20.042 ,  8.600 ,  40 ,  162 ,  10.331 ,  387 ,  98 ,  34.568 ,  -   ,  94.896 
  420 ,  324 ,  28 ,  4.420 ,  -   ,  163 ,  8.052 ,  1.385 ,  -   ,  180 ,  286 ,  -   ,  461 ,  3.902 ,  -   ,  19.202 
  421 ,  5.018 ,  10.284 ,  10.727 ,  3.255 ,  764 ,  20.867 ,  2.542 ,  -   ,  148 ,  2.164 ,  44 ,  321 ,  21.973 ,  1.397 ,  79.502 
  422 ,  12.032 ,  18.168 ,  86.362 ,  3.091 ,  8.833 ,  97.520 ,  45.059 ,  266 ,  5.862 ,  5.991 ,  -   ,  851 ,  51.126 ,  903 ,  336.064 
  423 ,  685 ,  1.854 ,  4.649 ,  182 ,  3.624 ,  19.833 ,  9.383 ,  1.015 ,  15 ,  996 ,  -   ,  -   ,  6.805 ,  -   ,  49.039 
  424 ,  1.698 ,  1.221 ,  11.258 ,  498 ,  902 ,  12.694 ,  5.208 ,  709 ,  1.222 ,  538 ,  -   ,  -   ,  11.302 ,  -   ,  47.251 
  425 ,  1.092 ,  -   ,  4.315 ,  588 ,  564 ,  6.602 ,  6.520 ,  297 ,  1.672 ,  453 ,  -   ,  844 ,  14.283 ,  -   ,  37.229 
  426 ,  942 ,  2.972 ,  6.884 ,  902 ,  4.562 ,  17.269 ,  3.528 ,  45 ,  1.009 ,  254 ,  -   ,  2.288 ,  9.504 ,  -   ,  50.159 
  427 ,  4.007 ,  5.573 ,  3.967 ,  1.715 ,  1.691 ,  17.240 ,  11.551 ,  -   ,  1.168 ,  1.160 ,  -   ,  208 ,  24.091 ,  -   ,  72.371 
  428 ,  858 ,  4.774 ,  10.878 ,  1.071 ,  3.066 ,  25.108 ,  15.450 ,  -   ,  810 ,  232 ,  -   ,  314 ,  27.392 ,  839 ,  90.791 
  429 ,  2.743 ,  2.105 ,  9.948 ,  790 ,  6.977 ,  32.587 ,  7.789 ,  -   ,  -   ,  1.740 ,  -   ,  -   ,  35.529 ,  839 ,  101.046 
  430 ,  2.125 ,  5.674 ,  10.388 ,  814 ,  2.659 ,  14.305 ,  10.239 ,  -   ,  -   ,  2.063 ,  428 ,  -   ,  19.446 ,  -   ,  68.141 
  431 ,  4.314 ,  1.961 ,  31.273 ,  9.399 ,  3.363 ,  43.243 ,  30.512 ,  -   ,  -   ,  4.441 ,  -   ,  1.546 ,  52.283 ,  -   ,  182.335 
  432 ,  6.388 ,  4.407 ,  26.291 ,  1.455 ,  2.990 ,  56.097 ,  39.611 ,  -   ,  3.053 ,  3.572 ,  -   ,  -   ,  38.517 ,  -   ,  182.381 
  433 ,  1.089 ,  1.312 ,  35.916 ,  2.131 ,  5.539 ,  30.242 ,  11.794 ,  -   ,  -   ,  6.884 ,  428 ,  2.286 ,  41.417 ,  -   ,  139.039 
  434 ,  21 ,  522 ,  885 ,  41 ,  442 ,  885 ,  2.620 ,  -   ,  -   ,  63 ,  -   ,  81 ,  665 ,  -   ,  6.226 
  435 ,  1.045 ,  4.583 ,  14.346 ,  7.269 ,  5.915 ,  20.699 ,  4.775 ,  -   ,  217 ,  2.165 ,  -   ,  -   ,  15.218 ,  -   ,  76.231 
  436 ,  4.923 ,  14.815 ,  39.636 ,  1.744 ,  23.831 ,  57.840 ,  21.796 ,  322 ,  4.246 ,  1.945 ,  -   ,  -   ,  90.198 ,  1.536 ,  262.833 
  437 ,  6.758 ,  16.385 ,  33.927 ,  7.731 ,  8.152 ,  33.358 ,  16.024 ,  -   ,  73 ,  1.882 ,  661 ,  -   ,  108.370 ,  -   ,  233.322 
  438 ,  3.880 ,  8.172 ,  21.913 ,  2.901 ,  5.810 ,  21.529 ,  7.266 ,  -   ,  -   ,  352 ,  -   ,  -   ,  50.571 ,  -   ,  122.393 
  439 ,  808 ,  1.508 ,  4.860 ,  946 ,  752 ,  5.607 ,  2.903 ,  -   ,  -   ,  1.105 ,  188 ,  -   ,  7.813 ,  -   ,  26.491 
  440 ,  11.030 ,  12.260 ,  25.198 ,  2.468 ,  14.941 ,  40.740 ,  21.957 ,  -   ,  386 ,  1.861 ,  -   ,  7.917 ,  36.403 ,  1.233 ,  176.395 
  441 ,  608 ,  1.977 ,  5.827 ,  468 ,  4.012 ,  4.876 ,  2.085 ,  -   ,  158 ,  -   ,  -   ,  339 ,  6.542 ,  -   ,  26.892 
  442 ,  708 ,  1.775 ,  2.883 ,  268 ,  2.302 ,  4.080 ,  2.184 ,  -   ,  73 ,  -   ,  -   ,  541 ,  3.807 ,  -   ,  18.622 
  443 ,  387 ,  2.072 ,  1.417 ,  -   ,  2.615 ,  1.656 ,  719 ,  -   ,  -   ,  446 ,  -   ,  -   ,  5.167 ,  -   ,  14.479 
  444 ,  571 ,  5.833 ,  1.980 ,  -   ,  7.356 ,  4.463 ,  1.663 ,  -   ,  115 ,  945 ,  -   ,  -   ,  24.539 ,  -   ,  47.465 
  445 ,  2.228 ,  -   ,  34.040 ,  2.833 ,  15.376 ,  47.380 ,  19.633 ,  -   ,  2.355 ,  7.761 ,  2.486 ,  -   ,  43.685 ,  -   ,  177.778 
  446 ,  2.349 ,  -   ,  15.466 ,  6.957 ,  4.800 ,  32.628 ,  11.946 ,  -   ,  808 ,  3.433 ,  -   ,  1.202 ,  37.548 ,  139 ,  117.276 
  447 ,  717 ,  324 ,  18.910 ,  2.017 ,  3.837 ,  30.744 ,  16.129 ,  -   ,  628 ,  4.748 ,  339 ,  439 ,  25.769 ,  436 ,  105.037 
  448 ,  3.586 ,  890 ,  32.064 ,  -   ,  7.307 ,  34.617 ,  14.502 ,  140 ,  -   ,  6.604 ,  -   ,  1.551 ,  37.277 ,  1.212 ,  139.750 
  449 ,  3.307 ,  4.783 ,  64.111 ,  2.588 ,  12.278 ,  74.867 ,  31.705 ,  -   ,  5.168 ,  8.519 ,  323 ,  549 ,  44.156 ,  -   ,  252.354 
  450 ,  1.660 ,  -   ,  52.383 ,  3.760 ,  11.269 ,  42.660 ,  20.020 ,  -   ,  3.514 ,  7.226 ,  708 ,  3.402 ,  103.335 ,  -   ,  249.938 
  451 ,  1.492 ,  -   ,  35.135 ,  2.195 ,  13.031 ,  39.053 ,  16.403 ,  -   ,  1.610 ,  4.657 ,  227 ,  -   ,  52.283 ,  -   ,  166.085 
  452 ,  1.172 ,  133 ,  10.805 ,  436 ,  3.932 ,  10.486 ,  3.455 ,  -   ,  -   ,  2.250 ,  227 ,  836 ,  27.256 ,  -   ,  60.989 
  453 ,  809 ,  -   ,  5.874 ,  375 ,  6.107 ,  6.962 ,  1.516 ,  -   ,  -   ,  2.286 ,  -   ,  -   ,  10.629 ,  -   ,  34.557 
  454 ,  1.346 ,  592 ,  48.515 ,  2.703 ,  13.186 ,  35.263 ,  12.674 ,  -   ,  1.235 ,  6.513 ,  751 ,  3.742 ,  98.779 ,  46 ,  225.344 
  455 ,  8.217 ,  1.698 ,  32.611 ,  975 ,  7.862 ,  34.836 ,  15.812 ,  -   ,  2.649 ,  3.641 ,  -   ,  881 ,  70.135 ,  -   ,  179.318 
  456 ,  5.269 ,  1.081 ,  29.751 ,  3.119 ,  6.312 ,  24.763 ,  14.230 ,  -   ,  795 ,  9.687 ,  1.094 ,  2.306 ,  68.634 ,  -   ,  167.040 
  457 ,  3.732 ,  509 ,  21.285 ,  2.925 ,  2.822 ,  34.815 ,  11.755 ,  -   ,  1.404 ,  6.582 ,  1.786 ,  1.393 ,  94.794 ,  -   ,  183.802 
  458 ,  4.651 ,  -   ,  18.714 ,  1.191 ,  2.817 ,  13.213 ,  6.158 ,  -   ,  1.401 ,  6.209 ,  -   ,  1.132 ,  36.812 ,  -   ,  92.299 
  459 ,  1.989 ,  -   ,  19.640 ,  266 ,  7.580 ,  7.858 ,  3.937 ,  -   ,  -   ,  1.433 ,  369 ,  -   ,  39.511 ,  -   ,  82.584 
  460 ,  6.836 ,  308 ,  29.936 ,  1.374 ,  7.183 ,  27.744 ,  8.141 ,  -   ,  676 ,  5.546 ,  -   ,  488 ,  35.725 ,  803 ,  124.760 
  461 ,  4.692 ,  312 ,  10.442 ,  243 ,  3.113 ,  15.837 ,  8.301 ,  -   ,  970 ,  4.209 ,  439 ,  1.052 ,  28.023 ,  92 ,  77.726 
  462 ,  6.673 ,  -   ,  30.793 ,  1.321 ,  5.508 ,  16.728 ,  10.697 ,  -   ,  -   ,  7.878 ,  439 ,  2.046 ,  66.546 ,  -   ,  148.629 
  463 ,  3.214 ,  -   ,  18.103 ,  -   ,  7.795 ,  9.539 ,  5.428 ,  -   ,  -   ,  5.373 ,  -   ,  -   ,  65.091 ,  -   ,  114.543 
  464 ,  7.976 ,  -   ,  18.335 ,  -   ,  3.792 ,  14.339 ,  4.640 ,  -   ,  -   ,  8.884 ,  3.688 ,  -   ,  54.057 ,  -   ,  115.711 
  465 ,  15.665 ,  -   ,  21.873 ,  796 ,  10.965 ,  30.429 ,  19.715 ,  -   ,  529 ,  9.465 ,  1.944 ,  3.300 ,  70.551 ,  948 ,  186.180 
  466 ,  2.634 ,  -   ,  29.108 ,  2.628 ,  7.577 ,  27.884 ,  12.161 ,  -   ,  630 ,  5.204 ,  1.186 ,  1.143 ,  46.892 ,  773 ,  137.821 
  467 ,  981 ,  -   ,  7.288 ,  244 ,  4.036 ,  7.020 ,  3.425 ,  -   ,  -   ,  568 ,  -   ,  159 ,  9.374 ,  -   ,  33.095 
  468 ,  15.017 ,  -   ,  47.373 ,  76 ,  20.210 ,  42.002 ,  33.631 ,  -   ,  539 ,  11.572 ,  3.157 ,  3.958 ,  79.964 ,  287 ,  257.786 
  469 ,  133 ,  -   ,  942 ,  76 ,  1.515 ,  1.392 ,  318 ,  -   ,  -   ,  313 ,  -   ,  -   ,  2.013 ,  -   ,  6.702 
  470 ,  -   ,  -   ,  2.328 ,  861 ,  1.654 ,  3.560 ,  1.957 ,  -   ,  -   ,  664 ,  -   ,  159 ,  3.552 ,  439 ,  15.174 
  471 ,  324 ,  -   ,  1.637 ,  107 ,  3.591 ,  4.476 ,  783 ,  -   ,  -   ,  254 ,  117 ,  -   ,  8.961 ,  -   ,  20.251 
  472 ,  2.480 ,  401 ,  12.535 ,  139 ,  8.191 ,  11.756 ,  12.209 ,  326 ,  -   ,  2.420 ,  207 ,  262 ,  20.213 ,  139 ,  71.278 
  473 ,  687 ,  1.097 ,  5.773 ,  -   ,  4.178 ,  3.494 ,  4.192 ,  -   ,  -   ,  1.464 ,  87 ,  785 ,  3.601 ,  87 ,  25.446 
  474 ,  316 ,  -   ,  2.327 ,  349 ,  3.010 ,  873 ,  646 ,  -   ,  -   ,  319 ,  -   ,  -   ,  997 ,  -   ,  8.838 
  475 ,  361 ,  -   ,  5.193 ,  678 ,  9.096 ,  6.794 ,  4.039 ,  -   ,  -   ,  1.645 ,  594 ,  683 ,  14.873 ,  261 ,  44.217 
  476 ,  3.607 ,  8.545 ,  36.751 ,  262 ,  14.838 ,  43.766 ,  19.244 ,  -   ,  251 ,  9.140 ,  488 ,  224 ,  37.077 ,  1.477 ,  175.672 
  477 ,  1.801 ,  625 ,  17.151 ,  754 ,  9.494 ,  32.486 ,  13.661 ,  -   ,  740 ,  4.724 ,  -   ,  1.071 ,  35.308 ,  -   ,  117.815 
  478 ,  2.143 ,  5.426 ,  34.167 ,  6.171 ,  259 ,  39.620 ,  12.232 ,  -   ,  1.843 ,  10.710 ,  1.746 ,  -   ,  13.985 ,  333 ,  128.635 
  479 ,  332 ,  2.663 ,  2.340 ,  -   ,  627 ,  2.674 ,  2.048 ,  -   ,  1.660 ,  131 ,  -   ,  -   ,  3.226 ,  -   ,  15.700 
  480 ,  -   ,  1.544 ,  11.880 ,  624 ,  6.769 ,  13.184 ,  6.813 ,  -   ,  -   ,  -   ,  -   ,  224 ,  21.062 ,  -   ,  62.099 
  481 ,  2.485 ,  4.573 ,  14.013 ,  -   ,  4.234 ,  17.314 ,  10.670 ,  -   ,  2.078 ,  8.477 ,  2.523 ,  -   ,  40.619 ,  -   ,  106.987 
  482 ,  765 ,  2.156 ,  5.338 ,  134 ,  1.702 ,  10.733 ,  3.460 ,  -   ,  154 ,  1.185 ,  308 ,  1.333 ,  15.210 ,  -   ,  42.481 
  483 ,  229 ,  446 ,  2.789 ,  328 ,  1.145 ,  4.544 ,  1.268 ,  -   ,  377 ,  2 ,  -   ,  -   ,  934 ,  -   ,  12.063 
  484 ,  4.486 ,  17.085 ,  27.409 ,  571 ,  14.805 ,  19.500 ,  9.149 ,  -   ,  167 ,  4.182 ,  -   ,  -   ,  51.700 ,  443 ,  149.496 
  485 ,  5.767 ,  15.729 ,  37.258 ,  1.088 ,  13.382 ,  27.808 ,  13.158 ,  -   ,  -   ,  3.516 ,  -   ,  378 ,  74.781 ,  449 ,  193.315 
  486 ,  4.331 ,  4.020 ,  13.720 ,  96 ,  2.968 ,  21.613 ,  14.424 ,  -   ,  -   ,  1.081 ,  728 ,  -   ,  49.324 ,  3.344 ,  115.651 
  487 ,  1.368 ,  3.550 ,  8.431 ,  -   ,  3.199 ,  9.730 ,  3.522 ,  -   ,  -   ,  1.053 ,  461 ,  196 ,  11.217 ,  -   ,  42.727 
  488 ,  1.304 ,  877 ,  8.173 ,  454 ,  3.662 ,  11.477 ,  5.246 ,  -   ,  162 ,  908 ,  -   ,  -   ,  34.506 ,  -   ,  66.769 
  489 ,  1.483 ,  10.244 ,  28.768 ,  -   ,  4.171 ,  18.832 ,  11.082 ,  76 ,  1.346 ,  3.710 ,  247 ,  -   ,  10.905 ,  -   ,  90.864 
  490 ,  2.219 ,  3.896 ,  19.480 ,  257 ,  4.493 ,  22.776 ,  8.030 ,  149 ,  344 ,  1.843 ,  -   ,  39 ,  9.687 ,  452 ,  73.665 
  491 ,  1.157 ,  2.329 ,  13.619 ,  1.638 ,  7.592 ,  17.882 ,  8.610 ,  -   ,  312 ,  2.011 ,  -   ,  272 ,  14.122 ,  -   ,  69.546 
  492 ,  6.004 ,  6.775 ,  18.166 ,  749 ,  7.728 ,  41.557 ,  19.461 ,  -   ,  2.730 ,  6.793 ,  1.282 ,  1.435 ,  46.750 ,  -   ,  159.430 
  493 ,  1.395 ,  354 ,  8.278 ,  -   ,  2.944 ,  7.129 ,  1.490 ,  -   ,  240 ,  280 ,  168 ,  117 ,  12.932 ,  131 ,  35.457 
  494 ,  5.064 ,  2.971 ,  11.884 ,  967 ,  6.326 ,  13.126 ,  6.300 ,  -   ,  -   ,  2.030 ,  -   ,  -   ,  36.087 ,  -   ,  84.755 
  495 ,  4.762 ,  2.363 ,  26.131 ,  607 ,  16.020 ,  25.067 ,  16.510 ,  -   ,  557 ,  4.237 ,  856 ,  768 ,  52.768 ,  -   ,  150.648 
  496 ,  5.170 ,  6.540 ,  9.804 ,  647 ,  4.831 ,  30.338 ,  19.433 ,  -   ,  302 ,  4.386 ,  -   ,  1.163 ,  28.818 ,  510 ,  111.941 
  497 ,  224 ,  430 ,  3.550 ,  267 ,  830 ,  5.351 ,  1.649 ,  -   ,  54 ,  1.220 ,  -   ,  102 ,  8.123 ,  -   ,  21.800 
  498 ,  1.489 ,  6.077 ,  6.923 ,  -   ,  1.166 ,  13.328 ,  3.627 ,  80 ,  258 ,  2.327 ,  -   ,  196 ,  11.898 ,  7 ,  47.378 
  499 ,  2.261 ,  7.220 ,  31.348 ,  1.767 ,  11.489 ,  22.288 ,  10.998 ,  -   ,  520 ,  3.464 ,  477 ,  901 ,  67.479 ,  -   ,  160.212 
  500 ,  854 ,  4.310 ,  10.667 ,  186 ,  4.728 ,  14.912 ,  6.744 ,  503 ,  1.140 ,  200 ,  -   ,  832 ,  32.755 ,  -   ,  77.831 
  501 ,  483 ,  3.036 ,  17.930 ,  98 ,  3.951 ,  15.889 ,  8.450 ,  -   ,  396 ,  2.681 ,  -   ,  1.010 ,  42.339 ,  -   ,  96.262 
  502 ,  1.741 ,  2.435 ,  14.230 ,  1.634 ,  167 ,  8.974 ,  1.561 ,  -   ,  26 ,  2.455 ,  85 ,  482 ,  11.583 ,  567 ,  45.940 
  503 ,  362 ,  4.811 ,  2.362 ,  1.439 ,  110 ,  5.808 ,  5.832 ,  -   ,  47 ,  913 ,  -   ,  -   ,  5.549 ,  87 ,  27.319 
  504 ,  2.772 ,  12.850 ,  13.990 ,  1.341 ,  1.392 ,  18.413 ,  11.935 ,  -   ,  419 ,  12.499 ,  3.313 ,  -   ,  70.372 ,  -   ,  149.295 
  505 ,  579 ,  779 ,  562 ,  -   ,  554 ,  4.188 ,  1.544 ,  -   ,  64 ,  99 ,  -   ,  -   ,  1.593 ,  -   ,  9.962 
  506 ,  3.267 ,  702 ,  17.204 ,  237 ,  6.657 ,  26.193 ,  8.289 ,  -   ,  -   ,  3.196 ,  714 ,  975 ,  12.666 ,  205 ,  80.306 
  507 ,  1.514 ,  -   ,  14.456 ,  182 ,  1.954 ,  18.500 ,  6.342 ,  -   ,  -   ,  4.228 ,  -   ,  -   ,  8.318 ,  443 ,  55.937 
  508 ,  3.290 ,  759 ,  52.496 ,  3.244 ,  8.152 ,  64.890 ,  28.136 ,  -   ,  343 ,  10.370 ,  -   ,  612 ,  73.160 ,  205 ,  245.658 
  509 ,  163 ,  -   ,  1.463 ,  -   ,  1.209 ,  1.499 ,  835 ,  -   ,  -   ,  297 ,  -   ,  -   ,  1.461 ,  -   ,  6.927 
  510 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
  511 ,  597 ,  -   ,  7.024 ,  201 ,  4.018 ,  11.440 ,  4.408 ,  -   ,  -   ,  2.063 ,  -   ,  612 ,  27.084 ,  70 ,  57.517 
  512 ,  1.182 ,  786 ,  12.119 ,  -   ,  7.432 ,  24.176 ,  8.905 ,  -   ,  498 ,  1.248 ,  -   ,  -   ,  38.955 ,  944 ,  96.245 
  513 ,  127 ,  121 ,  441 ,  64 ,  333 ,  1.005 ,  390 ,  -   ,  -   ,  39 ,  -   ,  92 ,  303 ,  -   ,  2.916 
  514 ,  6.200 ,  14.724 ,  18.551 ,  3.210 ,  11.203 ,  26.786 ,  10.887 ,  -   ,  2.640 ,  2.969 ,  770 ,  488 ,  59.880 ,  -   ,  158.309 
  515 ,  3.630 ,  13.887 ,  22.180 ,  3.897 ,  8.834 ,  21.836 ,  15.218 ,  -   ,  1.189 ,  8.470 ,  1.175 ,  581 ,  53.402 ,  -   ,  154.298 
  516 ,  3.367 ,  1.495 ,  40.337 ,  3.179 ,  18.607 ,  64.144 ,  18.940 ,  -   ,  1.909 ,  8.898 ,  -   ,  517 ,  52.786 ,  564 ,  214.742 
  517 ,  83 ,  152 ,  2.790 ,  167 ,  3.145 ,  1.966 ,  577 ,  -   ,  -   ,  324 ,  -   ,  -   ,  13.723 ,  -   ,  22.927 
,,,,,,,,,,,,,,,
 Total RMSP ,  3.399.614 ,  1.244.978 ,  8.304.473 ,  251.535 ,  2.093.542 ,  7.811.675 ,  3.529.721 ,  100.343 ,  368.101 ,  967.892 ,  96.219 ,  376.975 ,  13.349.876 ,  111.717 ,  42.006.660 
,,,,,,,,,,,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2017,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,
"Modo principal é o modo de maior hierarquia dentre os utilizados na mesma viagem. A hierarquia, em ordem decrescente, é a seguinte:  ",,,,,,,,,,,,,,,
"metrô, trem, ônibus, transporte fretado, transporte escolar, táxi convencional, táxi não convencional, dirigindo automóvel, passageiro de automóvel, ",,,,,,,,,,,,,,,
"dirigindo motocicleta, passageiro motocicleta, bicicleta, outros modos e a pé.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Viagem a pé é aquela realizada a pé da origem ao destino; não se complementa com nenhum outro modo de transporte.  ,,,,,,,,,,,,,,,
"Foram consideradas todas as viagens a pé pelos motivos trabalho e escola, independentemente da distância percorrida;",,,,,,,,,,,,,,,
"para os demais motivos, quando a distância da viagem a pé  foi superior a 500 metros.",,,,,,,,,,,,,,,